Wholesale Price MMK	Wholesale Min Qty	Wholesale Discount	Wholesale Status	Wholesale Notes
=IF(AND(ISNUMBER(AH22),AH22>0),ROUND(AH22*(1-AR22),0),"")	3	0.05	=IF(AND(ISNUMBER(AH22),AH22>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH23),AH23>0),ROUND(AH23*(1-AR23),0),"")	3	0.05	=IF(AND(ISNUMBER(AH23),AH23>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH24),AH24>0),ROUND(AH24*(1-AR24),0),"")	3	0.05	=IF(AND(ISNUMBER(AH24),AH24>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH25),AH25>0),ROUND(AH25*(1-AR25),0),"")	3	0.05	=IF(AND(ISNUMBER(AH25),AH25>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH26),AH26>0),ROUND(AH26*(1-AR26),0),"")	3	0.05	=IF(AND(ISNUMBER(AH26),AH26>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH27),AH27>0),ROUND(AH27*(1-AR27),0),"")	3	0.05	=IF(AND(ISNUMBER(AH27),AH27>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH28),AH28>0),ROUND(AH28*(1-AR28),0),"")	3	0.05	=IF(AND(ISNUMBER(AH28),AH28>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH29),AH29>0),ROUND(AH29*(1-AR29),0),"")	3	0.05	=IF(AND(ISNUMBER(AH29),AH29>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH30),AH30>0),ROUND(AH30*(1-AR30),0),"")	3	0.05	=IF(AND(ISNUMBER(AH30),AH30>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH31),AH31>0),ROUND(AH31*(1-AR31),0),"")	3	0.05	=IF(AND(ISNUMBER(AH31),AH31>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH32),AH32>0),ROUND(AH32*(1-AR32),0),"")	3	0.05	=IF(AND(ISNUMBER(AH32),AH32>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH33),AH33>0),ROUND(AH33*(1-AR33),0),"")	3	0.05	=IF(AND(ISNUMBER(AH33),AH33>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH34),AH34>0),ROUND(AH34*(1-AR34),0),"")	3	0.05	=IF(AND(ISNUMBER(AH34),AH34>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH35),AH35>0),ROUND(AH35*(1-AR35),0),"")	3	0.05	=IF(AND(ISNUMBER(AH35),AH35>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH36),AH36>0),ROUND(AH36*(1-AR36),0),"")	3	0.05	=IF(AND(ISNUMBER(AH36),AH36>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH37),AH37>0),ROUND(AH37*(1-AR37),0),"")	3	0.05	=IF(AND(ISNUMBER(AH37),AH37>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH38),AH38>0),ROUND(AH38*(1-AR38),0),"")	3	0.05	=IF(AND(ISNUMBER(AH38),AH38>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH39),AH39>0),ROUND(AH39*(1-AR39),0),"")	3	0.05	=IF(AND(ISNUMBER(AH39),AH39>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH40),AH40>0),ROUND(AH40*(1-AR40),0),"")	3	0.05	=IF(AND(ISNUMBER(AH40),AH40>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH41),AH41>0),ROUND(AH41*(1-AR41),0),"")	3	0.05	=IF(AND(ISNUMBER(AH41),AH41>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH42),AH42>0),ROUND(AH42*(1-AR42),0),"")	3	0.05	=IF(AND(ISNUMBER(AH42),AH42>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH43),AH43>0),ROUND(AH43*(1-AR43),0),"")	3	0.05	=IF(AND(ISNUMBER(AH43),AH43>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH44),AH44>0),ROUND(AH44*(1-AR44),0),"")	3	0.05	=IF(AND(ISNUMBER(AH44),AH44>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH45),AH45>0),ROUND(AH45*(1-AR45),0),"")	3	0.05	=IF(AND(ISNUMBER(AH45),AH45>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH46),AH46>0),ROUND(AH46*(1-AR46),0),"")	3	0.05	=IF(AND(ISNUMBER(AH46),AH46>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH47),AH47>0),ROUND(AH47*(1-AR47),0),"")	3	0.05	=IF(AND(ISNUMBER(AH47),AH47>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH48),AH48>0),ROUND(AH48*(1-AR48),0),"")	3	0.05	=IF(AND(ISNUMBER(AH48),AH48>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH49),AH49>0),ROUND(AH49*(1-AR49),0),"")	3	0.05	=IF(AND(ISNUMBER(AH49),AH49>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH50),AH50>0),ROUND(AH50*(1-AR50),0),"")	3	0.05	=IF(AND(ISNUMBER(AH50),AH50>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH51),AH51>0),ROUND(AH51*(1-AR51),0),"")	3	0.05	=IF(AND(ISNUMBER(AH51),AH51>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH52),AH52>0),ROUND(AH52*(1-AR52),0),"")	3	0.05	=IF(AND(ISNUMBER(AH52),AH52>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH53),AH53>0),ROUND(AH53*(1-AR53),0),"")	3	0.05	=IF(AND(ISNUMBER(AH53),AH53>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH54),AH54>0),ROUND(AH54*(1-AR54),0),"")	3	0.05	=IF(AND(ISNUMBER(AH54),AH54>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH55),AH55>0),ROUND(AH55*(1-AR55),0),"")	3	0.05	=IF(AND(ISNUMBER(AH55),AH55>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH56),AH56>0),ROUND(AH56*(1-AR56),0),"")	3	0.05	=IF(AND(ISNUMBER(AH56),AH56>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH57),AH57>0),ROUND(AH57*(1-AR57),0),"")	3	0.05	=IF(AND(ISNUMBER(AH57),AH57>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH58),AH58>0),ROUND(AH58*(1-AR58),0),"")	3	0.05	=IF(AND(ISNUMBER(AH58),AH58>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH59),AH59>0),ROUND(AH59*(1-AR59),0),"")	3	0.05	=IF(AND(ISNUMBER(AH59),AH59>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH60),AH60>0),ROUND(AH60*(1-AR60),0),"")	3	0.05	=IF(AND(ISNUMBER(AH60),AH60>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH61),AH61>0),ROUND(AH61*(1-AR61),0),"")	3	0.05	=IF(AND(ISNUMBER(AH61),AH61>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH62),AH62>0),ROUND(AH62*(1-AR62),0),"")	3	0.05	=IF(AND(ISNUMBER(AH62),AH62>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH63),AH63>0),ROUND(AH63*(1-AR63),0),"")	3	0.05	=IF(AND(ISNUMBER(AH63),AH63>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH64),AH64>0),ROUND(AH64*(1-AR64),0),"")	3	0.05	=IF(AND(ISNUMBER(AH64),AH64>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH65),AH65>0),ROUND(AH65*(1-AR65),0),"")	3	0.05	=IF(AND(ISNUMBER(AH65),AH65>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH66),AH66>0),ROUND(AH66*(1-AR66),0),"")	3	0.05	=IF(AND(ISNUMBER(AH66),AH66>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH67),AH67>0),ROUND(AH67*(1-AR67),0),"")	3	0.05	=IF(AND(ISNUMBER(AH67),AH67>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH68),AH68>0),ROUND(AH68*(1-AR68),0),"")	3	0.05	=IF(AND(ISNUMBER(AH68),AH68>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH69),AH69>0),ROUND(AH69*(1-AR69),0),"")	3	0.05	=IF(AND(ISNUMBER(AH69),AH69>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH70),AH70>0),ROUND(AH70*(1-AR70),0),"")	3	0.05	=IF(AND(ISNUMBER(AH70),AH70>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH71),AH71>0),ROUND(AH71*(1-AR71),0),"")	3	0.05	=IF(AND(ISNUMBER(AH71),AH71>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH72),AH72>0),ROUND(AH72*(1-AR72),0),"")	3	0.05	=IF(AND(ISNUMBER(AH72),AH72>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH73),AH73>0),ROUND(AH73*(1-AR73),0),"")	3	0.05	=IF(AND(ISNUMBER(AH73),AH73>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH74),AH74>0),ROUND(AH74*(1-AR74),0),"")	3	0.05	=IF(AND(ISNUMBER(AH74),AH74>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH75),AH75>0),ROUND(AH75*(1-AR75),0),"")	3	0.05	=IF(AND(ISNUMBER(AH75),AH75>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH76),AH76>0),ROUND(AH76*(1-AR76),0),"")	3	0.05	=IF(AND(ISNUMBER(AH76),AH76>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH77),AH77>0),ROUND(AH77*(1-AR77),0),"")	3	0.05	=IF(AND(ISNUMBER(AH77),AH77>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH78),AH78>0),ROUND(AH78*(1-AR78),0),"")	3	0.05	=IF(AND(ISNUMBER(AH78),AH78>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH79),AH79>0),ROUND(AH79*(1-AR79),0),"")	3	0.05	=IF(AND(ISNUMBER(AH79),AH79>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH80),AH80>0),ROUND(AH80*(1-AR80),0),"")	3	0.05	=IF(AND(ISNUMBER(AH80),AH80>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH81),AH81>0),ROUND(AH81*(1-AR81),0),"")	3	0.05	=IF(AND(ISNUMBER(AH81),AH81>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH82),AH82>0),ROUND(AH82*(1-AR82),0),"")	3	0.05	=IF(AND(ISNUMBER(AH82),AH82>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH83),AH83>0),ROUND(AH83*(1-AR83),0),"")	3	0.05	=IF(AND(ISNUMBER(AH83),AH83>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH84),AH84>0),ROUND(AH84*(1-AR84),0),"")	3	0.05	=IF(AND(ISNUMBER(AH84),AH84>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH85),AH85>0),ROUND(AH85*(1-AR85),0),"")	3	0.05	=IF(AND(ISNUMBER(AH85),AH85>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH86),AH86>0),ROUND(AH86*(1-AR86),0),"")	3	0.05	=IF(AND(ISNUMBER(AH86),AH86>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH87),AH87>0),ROUND(AH87*(1-AR87),0),"")	3	0.05	=IF(AND(ISNUMBER(AH87),AH87>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH88),AH88>0),ROUND(AH88*(1-AR88),0),"")	3	0.05	=IF(AND(ISNUMBER(AH88),AH88>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH89),AH89>0),ROUND(AH89*(1-AR89),0),"")	3	0.05	=IF(AND(ISNUMBER(AH89),AH89>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH90),AH90>0),ROUND(AH90*(1-AR90),0),"")	3	0.05	=IF(AND(ISNUMBER(AH90),AH90>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH91),AH91>0),ROUND(AH91*(1-AR91),0),"")	3	0.05	=IF(AND(ISNUMBER(AH91),AH91>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH92),AH92>0),ROUND(AH92*(1-AR92),0),"")	3	0.05	=IF(AND(ISNUMBER(AH92),AH92>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH93),AH93>0),ROUND(AH93*(1-AR93),0),"")	3	0.05	=IF(AND(ISNUMBER(AH93),AH93>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH94),AH94>0),ROUND(AH94*(1-AR94),0),"")	3	0.05	=IF(AND(ISNUMBER(AH94),AH94>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH95),AH95>0),ROUND(AH95*(1-AR95),0),"")	3	0.05	=IF(AND(ISNUMBER(AH95),AH95>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH96),AH96>0),ROUND(AH96*(1-AR96),0),"")	3	0.05	=IF(AND(ISNUMBER(AH96),AH96>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH97),AH97>0),ROUND(AH97*(1-AR97),0),"")	3	0.05	=IF(AND(ISNUMBER(AH97),AH97>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH98),AH98>0),ROUND(AH98*(1-AR98),0),"")	3	0.05	=IF(AND(ISNUMBER(AH98),AH98>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH99),AH99>0),ROUND(AH99*(1-AR99),0),"")	3	0.05	=IF(AND(ISNUMBER(AH99),AH99>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH100),AH100>0),ROUND(AH100*(1-AR100),0),"")	3	0.05	=IF(AND(ISNUMBER(AH100),AH100>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH101),AH101>0),ROUND(AH101*(1-AR101),0),"")	3	0.05	=IF(AND(ISNUMBER(AH101),AH101>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH102),AH102>0),ROUND(AH102*(1-AR102),0),"")	3	0.05	=IF(AND(ISNUMBER(AH102),AH102>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH103),AH103>0),ROUND(AH103*(1-AR103),0),"")	3	0.05	=IF(AND(ISNUMBER(AH103),AH103>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH104),AH104>0),ROUND(AH104*(1-AR104),0),"")	3	0.05	=IF(AND(ISNUMBER(AH104),AH104>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH105),AH105>0),ROUND(AH105*(1-AR105),0),"")	3	0.05	=IF(AND(ISNUMBER(AH105),AH105>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH106),AH106>0),ROUND(AH106*(1-AR106),0),"")	3	0.05	=IF(AND(ISNUMBER(AH106),AH106>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH107),AH107>0),ROUND(AH107*(1-AR107),0),"")	3	0.05	=IF(AND(ISNUMBER(AH107),AH107>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH108),AH108>0),ROUND(AH108*(1-AR108),0),"")	3	0.05	=IF(AND(ISNUMBER(AH108),AH108>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH109),AH109>0),ROUND(AH109*(1-AR109),0),"")	3	0.05	=IF(AND(ISNUMBER(AH109),AH109>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH110),AH110>0),ROUND(AH110*(1-AR110),0),"")	3	0.05	=IF(AND(ISNUMBER(AH110),AH110>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH111),AH111>0),ROUND(AH111*(1-AR111),0),"")	3	0.05	=IF(AND(ISNUMBER(AH111),AH111>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH112),AH112>0),ROUND(AH112*(1-AR112),0),"")	3	0.05	=IF(AND(ISNUMBER(AH112),AH112>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH113),AH113>0),ROUND(AH113*(1-AR113),0),"")	3	0.05	=IF(AND(ISNUMBER(AH113),AH113>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH114),AH114>0),ROUND(AH114*(1-AR114),0),"")	3	0.05	=IF(AND(ISNUMBER(AH114),AH114>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH115),AH115>0),ROUND(AH115*(1-AR115),0),"")	3	0.05	=IF(AND(ISNUMBER(AH115),AH115>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH116),AH116>0),ROUND(AH116*(1-AR116),0),"")	3	0.05	=IF(AND(ISNUMBER(AH116),AH116>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH117),AH117>0),ROUND(AH117*(1-AR117),0),"")	3	0.05	=IF(AND(ISNUMBER(AH117),AH117>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH118),AH118>0),ROUND(AH118*(1-AR118),0),"")	3	0.05	=IF(AND(ISNUMBER(AH118),AH118>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
=IF(AND(ISNUMBER(AH119),AH119>0),ROUND(AH119*(1-AR119),0),"")	3	0.05	=IF(AND(ISNUMBER(AH119),AH119>0),"enabled","pending")	Owner approved 5% below approved retail, 3+ of this product. Business verification required. Not a supplier quote.
